gene,n_tissue,tissue_1,tissue_2,tissue_3,tissue_4,direct_association.diseaseId,direct_association.score,direct_association.disease,ensembl_ID
CC2D2A,1,SKM-VL,"","","",Orphanet_564,0.821522593336479,"Meckel syndrome: A rare, lethal, genetic, multiple congenital anomaly disorder characterized by the triad of brain malformation mainly occipital encephalocele, large polycystic kidneys, and polydactyly as well as associated abnormalities that may include cleft lip/palate, cardiac and genital anomalies, central nervous system (CNS) malformations, liver fibrosis, and bone dysplasia.",ENSG00000048342
FLT4,1,LUNG,"","","",Orphanet_79452,0.82139411969941,"Milroy disease: Milroy disease is a frequent form of primary lymphedema (see this term) characterized generally by painless, chronic lower-limb lymphedema found at birth or developing in the early neonatal period.",ENSG00000037280
STXBP1,1,BLOOD,"","","",MONDO_0100062,0.82135837511493,developmental and epileptic encephalopathy: A complex neurodevelopmental disorder characterized by a range of developmental delays and epileptic encephalopathy phenotypes. Seizure onset is variable and intellectual disability is variable in presence and severity.,ENSG00000136854
RPS6KA3,1,SKM-VL,"","","",Orphanet_192,0.821202302943253,"Coffin-Lowry syndrome: Coffin-Lowry syndrome (CLS) is a rare genetic neurological disorder characterized by psychomotor and growth retardation, facial dysmorphism, digit abnormalities, and progressive skeletal changes.",ENSG00000177189
MFN2,1,BAT,"","","",Orphanet_99947,0.821100090421823,"Autosomal dominant Charcot-Marie-Tooth disease type 2A2: Autosomal dominant Charcot-Marie-Tooth disease type 2A2 (CMT2A2) is a subtype of Autosomal dominant Charcot-Marie-Tooth disease type 2 characterized by the childhood onset of distal weakness and areflexia (with earlier and more severe involvement of the lower extremities), reduced sensory modalities (primarily pain and temperature sensation), foot deformities, postural tremor, scoliosis and contractures. Optic atrophy, vocal cord palsy with dysphonia, sensorineural hearing loss, spinal cord abnormalities and hydrocephalus have also been reported.",ENSG00000116688
GFM1,1,KIDNEY,"","","",Orphanet_137681,0.82108572671304,"Hepatoencephalopathy due to combined oxidative phosphorylation deficiency type 1: Hepatoencephalopathy due to combined oxidative phosphorylation deficiency type 1 is a rare, inherited mitochondrial disorder due to a defect in mitochondrial protein synthesis characterized by intrauterine growth retardation, metabolic decompensation with recurrent vomiting, persistent severe lactic acidosis, encephalopathy, seizures, failure to thrive, severe global developmental delay, poor eye contact, severe muscular hypotonia or axial hypotonia with limb hypertonia, hepatomegaly and/or liver dysfunction and/or liver failure, leading to fatal outcome in severe cases. Neuroimaging abnormalities may include corpus callosum thinning, leukodystrophy, delayed myelination and basal ganglia involvement.",ENSG00000168827
SLC4A11,1,SPLEEN,"","","",Orphanet_293603,0.821005139842368,"Congenital hereditary endothelial dystrophy type II: Congenital hereditary endothelial dystrophy II (CHED II) is a rare subtype of posterior corneal dystrophy (see this term) characterized by a diffuse ground-glass appearance of the corneas and marked corneal thickening from birth with nystagmus, and blurred vision.",ENSG00000088836
INF2,1,LIVER,"","","",Orphanet_93114,0.820853289618254,"Autosomal dominant intermediate Charcot-Marie-Tooth disease type E: Autosomal dominant intermediate Charcot-Marie-Tooth disease type E is characterised by the association of Charcot-Marie-Tooth disease (hereditary peripheral neuropathy) with nephropathy. So far, around 15 cases have been described. All patients had proteinuria (with or without microhematuria) at onset and some patients presented with nephrotic syndrome. In the majority of cases, pathological studies revealed glomerulosclerosis. The mode of transmission is unknown.",ENSG00000203485
FUCA1,1,ADRNL,"","","",Orphanet_349,0.820598077015865,"Fucosidosis: Fucosidosis is an extremely rare lysosomal storage disorder characterized by a highly variable phenotype with common manifestations including neurologic deterioration, coarse facial features, growth retardation, and recurrent sinopulmonary infections, as well as seizures, visceromegaly, angiokeratoma and dysostosis.",ENSG00000179163
GCH1,1,BLOOD,"","","",Orphanet_2102,0.820494334528661,"GTP cyclohydrolase I deficiency: A disease characterized by a deficiency in GTP cyclohydrolase I, which leads to a consequent reduction in BH4 and reduces the activity of three BH4-cofactor dependent enzymes - phenylalanine hydroxylase, tyrosine hydroxylase, and tryptophan hydroxylase. GTP cyclohydrolase I deficiency encompasses a spectrum of disease that includes autosomal dominant and autosomal recessive forms, with severity correlating with the residual enzyme activity. Individuals who are heterozygous for pathogenic variants in GCH1 have symptoms ranging from none (due to reduced penetrance) to dopa-responsive dystonia, which is the most common presentation in symptomatic cases, to rarer neurological presentations such as adult-onset ""benign"" parkinsonism, various types of focal dystonia, and symptoms simulating cerebral palsy or spastic paraplegia. Hyperphenylalaninemia is absent, and patients respond well to treatment with levodopa. Individuals who are homozygous or compound heterozygous for pathogenic variants in GCH1 typically present with hyperphenylalaninemia, often identified by newborn screening, and severe neurological features and due to very low or undetectable enzyme activity. Treatment with levodopa, BH4, and 5-hydroxytryptophan can improve the symptoms but does not prevent development of severe encephalopathy. Rare cases of GTP cyclohydrolase I deficiency with a phenotype that is intermediate in severity between dopa-responsive dystonia and the severe autosomal recessive form have also been described, supporting the existence a phenotypic spectrum of disease.",ENSG00000131979
PIK3R1,1,COLON,"","","",Orphanet_3163,0.82042702361327,"SHORT syndrome: SHORT syndrome is a rare inherited condition of multiple anomalies whose name stands for short stature, hyperextensibility of joints, ocular depression, Rieger anomaly and teething delay which, along with mild intrauterine growth restriction, partial lipodystrophy, delayed bone age, hernias and progeroid appearance, are manifestations of the disease.",ENSG00000145675
CTSK,1,BAT,"","","",Orphanet_763,0.820312970895878,"Pycnodysostosis: Pycnodysostosis is a genetic lysosomal disease characterized by short stature, increased density of the bones (osteosclerosis/osteopetrosis), and brittle bones. Other features may include underdevelopment of the tips of the fingers with absent or small nails, an abnormal collarbone (clavicle), distinctive facial features including a large head with a small face and chin, underdeveloped facial bones, a high forehead, and dental abnormalities.Pycnodysostosis is an autosomal recessive condition caused by mutations in the gene that codes the enzyme cathepsin K (CTSK) on chromosome 1q21. The diagnosis of pycnodysostosis is based on physical features and X-ray findings. Molecular genetic testing is available. Treatment should address the symptoms found in each patient and may include orthopedic monitoring, treatment of fractures, appropriate dental care, and craniofacial surgery.",ENSG00000143387
VWF,1,LUNG,"","","",Orphanet_166084,0.820031639888441,Von Willebrand disease type 2A: Type 2A von Willebrand disease (type 2A VWD) is a subtype of type 2 VWD characterized by a bleeding disorder associated with a decrease in the affinity of the Willebrand factor (von Willebrand factor; VWF) for platelets and the subendothelium caused by a deficiency of high molecular weight VWF multimers.,ENSG00000110799
FH,1,BAT,"","","",Orphanet_24,0.819566614270764,"Fumaric aciduria: Fumaric aciduria (FA), an autosomal recessive metabolic disorder, is most often characterized by early onset but non-specific clinical signs: hypotonia, severe psychomotor impairment, convulsions, respiratory distress, feeding difficulties and frequent cerebral malformations, along with a distinctive facies. Some patients present with only moderate intellectual impairment.",ENSG00000091483
MMACHC,1,HEART,"","","",Orphanet_26,0.819532952846952,"Methylmalonic acidemia with homocystinuria: An inborn error of vitamin B12 (cobalamin) metabolism characterized by megaloblastic anemia, lethargy, failure to thrive, developmental delay, intellectual deficit and seizures. There are four complementation classes of cobalamin defects (cblC, cblD, cblF and cblJ) that are responsible for methylmalonic acidemia - homocystinuria (methylmalonic acidemia - homocystinuria cblC, cblD cblF and cblJ).",ENSG00000132763
D2HGDH,1,BAT,"","","",Orphanet_79315,0.819204621704568,"D-2-hydroxyglutaric aciduria: D-2-hydroxyglutaric aciduria (D-2-HGA) is a rare clinically variable neurological form of 2-hydroxyglutaric aciduria (see this term) characterized biochemically by elevated D-2-hydroxyglutaric acid (D-2-HG) in the urine, plasma and cerebrospinal fluid.",ENSG00000180902
KLHL3,1,SPLEEN,"","","",Orphanet_300525,0.819024471406376,Pseudohypoaldosteronism type 2D: Any pseudohypoaldosteronism type 2 in which the cause of the disease is a mutation in the KLHL3 gene.,ENSG00000146021
HSD17B10,1,BAT,"","","",Orphanet_391417,0.818897324686284,"HSD10 disease: HSD10 disease is a rare, life-threatening neurometabolic disease characterized by a progressive neurodegenerative course, epilepsy, retinopathy and progressive cardiomyopathy.",ENSG00000072506
ALAS2,1,BLOOD,"","","",Orphanet_75563,0.8185324841389,"X-linked sideroblastic anemia: X-linked sideroblastic anemia is a constitutional microcytic, hypochromic anemia of varying severity that is clinically characterized by manifestations of anemia and iron overload and that may respond to treatment with pyridoxine and folic acid.",ENSG00000158578
STXBP1,1,BLOOD,"","","",Orphanet_1934,0.818521927916455,"Early infantile epileptic encephalopathy: Early infantile epileptic encephalopathy (EIEE), or Ohtahara syndrome, is one of the most severe forms of age-related epileptic encephalopathies, characterized by the onset of tonic spasms within the first 3 months of life that can be generalized or lateralized, independent of the sleep cycle and that can occur hundreds of times per day, leading to psychomotor impairment and death.",ENSG00000136854
GMPPB,1,COLON,"","","",Orphanet_363623,0.818302688569637,"Autosomal recessive limb-girdle muscular dystrophy type 2T: Autosomal recessive limb-girdle muscular dystrophy type 2T (LGMD2T) is a form of limb-girdle muscular dystrophy, that can present from birth to early childhood, characterized by hypotonia, microcephaly, mild proximal muscle weakness (leading to delayed walking and difficulty climbing stairs), mild intellectual disability and epilepsy. Additional manifestations reported in some patients include cataracts, nystagmus, cardiomyopathy, and respiratory insufficiency.",ENSG00000173540
ATP13A2,1,LUNG,"","","",Orphanet_306674,0.818192203473331,"Kufor-Rakeb syndrome: Kufor-Rakeb syndrome (KRS) is a rare genetic neurodegenerative disorder characterized by juvenile Parkinsonism, pyramidal degeneration (dystonia), supranuclear palsy, and cognitive impairment.",ENSG00000159363
CFH,1,COLON,"","","",Orphanet_2134,0.818146650036863,"Atypical hemolytic-uremic syndrome: Atypical hemolytic-uremic syndrome (aHUS) is a thrombotic microangiopathy characterized by mechanical hemolytic anemia, thrombocytopenia, and renal dysfunction.",ENSG00000000971
ABCG8,1,LIVER,"","","",Orphanet_2882,0.817999262166344,"Sitosterolemia: A rare autosomal recessive sterol storage disease characterized by the accumulation of phytosterols in the blood and tissues. Clinical manifestations include xanthomas, arthralgia and premature atherosclerosis. Hematological manifestations include hemolytic anemia with stomatocytosis and macrothrombocytopenia. The disease is caused by homozygous or compound heterozygous mutations in ABCG5 (2p21) and ABCG8 (2p21) genes.",ENSG00000143921
FH,1,BAT,"","","",Orphanet_523,0.817372240745234,"Hereditary leiomyomatosis and renal cell cancer: Hereditary leiomyomatosis and renal cell cancer (HLRCC) is a hereditary cancer syndrome characterized by a predisposition to cutaneous and uterine leiomyomas and, in some families, to renal cell cancer.",ENSG00000091483
FBN1,1,SKM-GN,"","","",Orphanet_1885,0.816549169151399,"Isolated ectopia lentis: Isolated ectopia lentis (IEL) is a rare, clinically variable, eye disorder characterized by dislocation of the lens, often causing significant reduction in visual acuity.",ENSG00000166147
BCKDHA,1,BAT,"","","",Orphanet_511,0.816438024168137,"Maple syrup urine disease: Maple syrup urine disease (MSUD) is a rare inherited disorder of branched-chain amino acid metabolism classically characterized by poor feeding, lethargy, vomiting and a maple syrup odor in the cerumen (and later in urine) noted soon after birth, followed by progressive encephalopathy and central respiratory failure if untreated. The four overlapping phenotypic subtypes are: classic, intermediate, intermittent and thiamine responsive MSUD (see these terms).",ENSG00000248098
NCF2,1,SMLINT,"","","",Orphanet_379,0.815584544282253,"Chronic granulomatous disease: Chronic granulomatous disease (CGD) is a rare primary immunodeficiency, mainly affecting phagocytes, which is characterized by an increased susceptibility to severe and recurrent bacterial and fungal infections, along with the development of granulomas.",ENSG00000116701
VWF,1,LUNG,"","","",Orphanet_166093,0.815529940793437,Von Willebrand disease type 2N: Type 2N von Willebrand disease (type 2N VWD) is a subtype of type 2 VWD characterized by a bleeding disorder associated with a marked decrease in the affinity of the Willebrand factor (von Willebrand factor; VWF) for factor VIII (FVIII).,ENSG00000110799
SLC25A20,1,BAT,"","","",Orphanet_159,0.815263777919734,"Carnitine-acylcarnitine translocase deficiency: Carnitine-acylcarnitine translocase (CACT) deficiency is a life-threatening, inherited disorder of fatty acid oxidation which usually presents in the neonatal period with severe hypoketotic hypoglycemia, hyperammonemia, cardiomyopathy and/or arrhythmia, hepatic dysfunction, skeletal muscle weakness, and encephalopathy.",ENSG00000178537
RPS26,1,KIDNEY,"","","",Orphanet_124,0.815221365567819,Blackfan-Diamond anemia: A congenital aregenerative and often macrocytic anemia with erythroblastopenia.,ENSG00000197728
KCNT1,1,ADRNL,"","","",Orphanet_293181,0.814355167555282,Malignant migrating partial seizures of infancy: A very rare severe form of epilepsy with poor prognosis that usually begins within a few weeks of birth. The seizure activity can appear in multiple locations in the brain or migrate from one region to another during an episode. It results in severe developmental delay.,ENSG00000107147
RYR1,1,SKM-VL,"","","",Orphanet_598,0.814237297373511,Multiminicore myopathy: Multi-minicore Disease (MmD) is a hereditary neuromuscular disorder characterized by multiple cores on muscle biopsy and clinical features of a congenital myopathy.,ENSG00000196218
GALE,1,COLON,"","","",Orphanet_79238,0.814085391543852,"Galactose epimerase deficiency: Galactose epimerase deficiency is a very rare, moderate to severe form of galactosemia characterized by moderate to severe signs of impaired galactose metabolism.",ENSG00000117308
CYBA,1,SPLEEN,"","","",Orphanet_379,0.813864390799954,"Chronic granulomatous disease: Chronic granulomatous disease (CGD) is a rare primary immunodeficiency, mainly affecting phagocytes, which is characterized by an increased susceptibility to severe and recurrent bacterial and fungal infections, along with the development of granulomas.",ENSG00000051523
OPA1,1,BAT,"","","",Orphanet_1215,0.813528075332621,"Autosomal dominant optic atrophy plus syndrome: Autosomal dominant optic atrophy plus syndrome (DOAplus) is a form of autosomal dominant optic atrophy (ADOA; see this term) associating optic atrophy with other clinical manifestations such as sensorineural deafness, myopathy, progressive external ophthalmoplegia, ataxia, peripheral neuropathy, stroke or spastic paraplegia.",ENSG00000198836
ABCC9,1,HEART,"","","",Orphanet_1517,0.813527477079074,"Hypertrichotic osteochondrodysplasia, Cantu type: Cantu syndrome is a rare disorder characterized by congenital hypertrichosis, osteochondrodysplasia, cardiomegaly, and dysmorphism.",ENSG00000069431
SLC4A11,1,SPLEEN,"","","",Orphanet_98974,0.813046203818913,"Fuchs endothelial corneal dystrophy: Fuchs endothelial corneal dystrophy (FECD) is the most frequent form of posterior corneal dystrophy and is characterized by excrescences on a thickened Descemet membrane (corneal guttae), generalized corneal edema, with gradually decreased visual acuity.",ENSG00000088836
MTTP,1,COLON,"","","",Orphanet_14,0.812962450826747,"Abetalipoproteinemia: Abetalipoproteinemia/ homozygous familial hypobetalipoproteinemia (ABL/HoFHBL) is a severe form of familial hypobetalipoproteinemia characterized by permanently low levels (below the 5th percentile) of apolipoprotein B and LDL cholesterol, and by growth delay, malabsorption, hepatomegaly, and neurological and neuromuscular manifestations.",ENSG00000138823
ACO2,1,BAT,"","","",Orphanet_313850,0.812723980919146,"Infantile cerebellar-retinal degeneration: Infantile cerebellar retinal degeneration (ICRD) is a genetic condition present from birth (congenital) that involves the brain and eyes. Individuals with this condition usually develop symptoms around six months of age including developmental delays, low muscle tone (hypotonia), and seizures. Other symptoms may include head bobbing, abnormal muscle twitching and movement, and loss of brain cells in the main part of the brain called the cerebellum. Eye findings in individuals with this condition may include retinal degeneration (weakening of the layer of tissue in the back of the eye that senses light), strabismus (crossed eyes), and nystagmus (fast, uncontrollable movements of the eyes). ICRD is caused by mutations in the ACO2 gene and is inherited in an autosomal recessive manner. While there is still no cure for this condition, treatment options will depend on the type and severity of symptoms.",ENSG00000100412
KRT10,1,WAT-SC,"","","",Orphanet_312,0.812640259387966,"Epidermolytic ichthyosis: Epidermolytic ichthyosis (EI) is a rare keratinopathic ichthyosis (KPI; see this term), that is characterized by a blistering phenotype at birth which progressively becomes hyperkeratotic.",ENSG00000186395
IFT140,1,ADRNL,"","","",Orphanet_140969,0.812498922802121,Saldino-Mainzer syndrome: NA,ENSG00000187535
ACTA2,1,SPLEEN,"","","",Orphanet_91387,0.812281355634739,"Familial thoracic aortic aneurysm and aortic dissection: A rare genetic vascular disease characterized by the familial occurrence of thoracic aortic aneurysm, dissection or dilatation affecting one or more aortic segments (aortic root, ascending aorta, arch or descending aorta) in the absence of any other associated disease. Depending on the size, location and progression rate of dilatation/dissection, patients may be asymptomatic or may present dyspnea, cough, jaw, neck, chest or back pain, head, neck or upper limb edema, difficulty swallowing, voice hoarseness, pale skin, faint pulse and/or numbness/tingling in limbs. Patients have increased risk of presenting life threatening aortic rupture.",ENSG00000107796
SLC19A2,1,ADRNL,"","","",Orphanet_49827,0.812160581834809,"Thiamine-responsive megaloblastic anemia syndrome: Thiamine-responsive megaloblastic anemia (TRMA) is characterized by a triad of megaloblastic anemia, non-type I diabetes mellitus, and sensorineural deafness.",ENSG00000117479
COL6A1,1,BAT,"","","",Orphanet_610,0.811911513221449,"Bethlem myopathy: A usually autosomal dominant inherited movement disorder caused by mutations in the COL6A1, COL6A2, and COL6A3 genes. It is characterized by progressive muscle weakness and joint stiffness in the fingers, wrists, elbows, and ankles.",ENSG00000142156
FANCD2,1,SPLEEN,"","","",Orphanet_84,0.811440812346578,"Fanconi anemia: Fanconi anemia (FA) is a hereditary DNA repair disorder characterized by progressive pancytopenia with bone marrow failure, variable congenital malformations and predisposition to develop hematological or solid tumors.",ENSG00000144554
EVC,1,ADRNL,"","","",Orphanet_289,0.811123789854771,"Ellis Van Creveld syndrome: Ellis-van Creveld syndrome (EVC) is a skeletal and ectoderlam dysplasia characterized by a tetrad of short stature, postaxial polydactyly, ectodermal dysplasia, and congenital heart defects.",ENSG00000072840
VWF,1,LUNG,"","","",Orphanet_166081,0.811086536807376,Von Willebrand disease type 2: Type 2 von Willebrand disease (type 2 VWD) is a form of VWD characterized by a bleeding disorder associated with a qualitative deficiency and functional anomalies of the Willebrand factor (von Willebrand factor; VWF).,ENSG00000110799
CDH23,1,HEART,"","","",Orphanet_90636,0.81098416976146,Autosomal recessive non-syndromic sensorineural deafness type DFNB: NA,ENSG00000107736
PDE4D,1,SKM-GN,"","","",Orphanet_950,0.81076227426023,"Acrodysostosis: Acrodysostosis (ACRDYS) is a rare primary bone dysplasia characterized by severe brachydactyly, peripheral dysostosis with facial dysostosis, nasal hypoplasia, and developmental delay.",ENSG00000113448
DBT,1,HEART,"","","",Orphanet_511,0.810740736615525,"Maple syrup urine disease: Maple syrup urine disease (MSUD) is a rare inherited disorder of branched-chain amino acid metabolism classically characterized by poor feeding, lethargy, vomiting and a maple syrup odor in the cerumen (and later in urine) noted soon after birth, followed by progressive encephalopathy and central respiratory failure if untreated. The four overlapping phenotypic subtypes are: classic, intermediate, intermittent and thiamine responsive MSUD (see these terms).",ENSG00000137992
ITGB4,1,BAT,"","","",Orphanet_79403,0.810605373602811,Junctional epidermolysis bullosa - pyloric atresia: Junctional epidermolysis bullosa with pyloric atresia is a severe subtype of junctional epidermolysis bullosa (JEB) characterized by generalized blistering at birth and congenital atresia of the pylorus and rarely of other portions of the gastrointestinal tract.,ENSG00000132470
FLNA,1,BAT,"","","",Orphanet_90652,0.81001765363184,"Otopalatodigital syndrome type 2: Otopalatodigital syndrome type 2 (OPD2) is a severe form of frontootopalatodigital syndrome (see this term), characterized by dysmorphic facies, a severe skeletal dysplasia affecting the axial and appendicular skeleton, extraskeletal anomalies (including malformations of the brain, heart, genitourinary system, and intestine), and poor survival.",ENSG00000196924
DHODH,1,BAT,"","","",Orphanet_246,0.809850427582114,"Postaxial acrofacial dysostosis: Postaxial acrofacial dysostosis (POADS) is a type of acrofacial dysostosis (see this term) characterised by mandibular and malar hypoplasia, small and cup-shaped ears, lower lid ectropion, and symmetrical postaxial limb deficiencies with absence of the fifth digital ray and ulnar hypoplasia.",ENSG00000102967
DSP,1,HEART,"","","",Orphanet_65282,0.809422552040368,Woolly hair-palmoplantar keratoderma-dilated cardiomyopathy syndrome: NA,ENSG00000096696
RYR1,1,SKM-VL,"","","",Orphanet_597,0.809338707793439,Central core disease: Central core disease (CCD) is an inherited neuromuscular disorder characterised by central cores on muscle biopsy and clinical features of a congenital myopathy.,ENSG00000196218
VCP,1,COLON,"","","",Orphanet_52430,0.809284056992654,"Inclusion body myopathy with Paget disease of bone and frontotemporal dementia: Inclusion body myopathy with Paget disease of bone and frontotemporal dementia (IBMPFD) is a multisystem degenerative genetic disorder characterized by adult-onset proximal and distal muscle weakness (clinically resembling limb-girdle muscular dystrophy); early-onset Paget disease of bone, manifesting with bone pain, deformity and enlargement of the long-bones; and premature frontotemporal dementia, manifesting first with dysnomia, dyscalculia and comprehension deficits followed by progressive aphasia, alexia, and agraphia. As the disease progresses, muscle weakness begins to affect the other limbs and respiratory muscles, ultimately resulting in respiratory or cardiac failure.",ENSG00000165280
ITPR1,1,KIDNEY,"","","",Orphanet_1065,0.809146617419587,"Aniridia - cerebellar ataxia - intellectual disability: Aniridia-cerebellar ataxia-intellectual disability syndrome, also known as Gillespie syndrome, is a rare, congenital, neurological disorder characterized by the association of partial bilateral aniridia with non-progressive cerebellar ataxia, and intellectual disability.",ENSG00000150995
CFH,1,COLON,"","","",Orphanet_93579,0.809075133340866,Atypical hemolytic-uremic syndrome with H factor anomaly: NA,ENSG00000000971
COL6A2,1,BAT,"","","",Orphanet_610,0.808927521164127,"Bethlem myopathy: A usually autosomal dominant inherited movement disorder caused by mutations in the COL6A1, COL6A2, and COL6A3 genes. It is characterized by progressive muscle weakness and joint stiffness in the fingers, wrists, elbows, and ankles.",ENSG00000142173
DICER1,1,SKM-VL,"","","",EFO_0009068,0.808852099965321,"dicer1 syndrome: A rare, autosomal dominant inherited syndrome caused by mutations in the DICER1 gene. People with this syndrome are at an increased risk of developing pleuropulmonary blastoma, cystic nephroma, Sertoli-Leydig cell tumor of the ovary, and multinodular goiter.",ENSG00000100697
NBN,1,SPLEEN,"","","",Orphanet_647,0.80880656697364,"Nijmegen breakage syndrome: Nijmegen breakage syndrome is a rare genetic disease presenting at birth with microcephaly, dysmorphic facial features, becoming more noticeable with age, growth delay, and later-onset complications such as malignancies and infections.",ENSG00000104320
VWF,1,LUNG,"","","",Orphanet_166090,0.808688963466547,Von Willebrand disease type 2M: A subtype of type 2 VWD characterized by a bleeding disorder associated with a decrease in the affinity of the Willebrand factor (von Willebrand factor; VWF) for platelets and the subendothelium in the absence of any deficiency of high molecular weight VWF multimers.,ENSG00000110799
DNM1L,1,ADRNL,"","","",Orphanet_330050,0.808656060589526,Lethal encephalopathy due to mitochondrial and peroxisomal fission defect: NA,ENSG00000087470
ASAH1,1,ADRNL,"","","",Orphanet_333,0.808650029863909,"Farber lipogranulomatosis: A rare sphingolipid disorder characterized by a spectrum of clinical signs ranging from the classical triad of painful and progressively deformed joints, subcutaneous nodules, and progressive hoarseness (due to laryngeal involvement) that presents in infancy, to varying phenotypes with respiratory and neurologic involvement.",ENSG00000104763
CPT2,1,BAT,"","","",Orphanet_228302,0.808583554559802,"Carnitine palmitoyl transferase II deficiency, myopathic form: The myopathic form of carnitine palmitoyltransferase II (CPT II) deficiency, an inherited metabolic disorder that affects mitochondrial oxidation of long chain fatty acids (LCFA), is the most common and the least severe form of CPT II deficiency.",ENSG00000157184
FLNA,1,BAT,"","","",Orphanet_2484,0.808532526655137,"Osteodysplasty, Melnick-Needles type: Osteodysplasty, Melnick-Needles type (MNS) is a severe form of frontootopalatodigital syndrome (see this term) and is associated with a short stature, facial dysmorphism, osseous abnormalities involving the majority of the axial and appendicular skeleton resulting in significant effects on the craniofacial skeleton including impaired speech and masticatory problems.",ENSG00000196924
FLNA,1,BAT,"","","",Orphanet_98892,0.808518905239891,"Periventricular nodular heterotopia: Periventricular nodular heterotopia (PNH) is a brain malformation, due to abnormal neuronal migration, in which a subset of neurons fails to migrate into the developing cerebral cortex and remains as nodules that line the ventricular surface. Classical PNH is a rare X-linked dominant disorder far more frequent in females who present normal intelligence to borderline intellectual deficit, epilepsy of variable severity and extra-central nervous system signs, especially cardiovascular defects or coagulopathy. The disorder is generally associated with prenatal lethality in males.",ENSG00000196924
KRT14,1,COLON,"","","",Orphanet_79396,0.808430301461197,"Epidermolysis bullosa simplex, Dowling-Meara type: A basal subtype of epidermolysis bullosa simplex (EBS) characterized by the presence of generalized vesicles and small blisters in grouped or arcuate configuration.",ENSG00000186847
THRB,1,SKM-VL,"","","",MONDO_0001328,0.808421888204549,"thyroid hormone resistance syndrome: An inherited autosomal recessive trait, characterized by peripheral resistance to thyroid hormones and the resulting elevation in serum levels of thyroxine and triiodothyronine.",ENSG00000151090
LONP1,1,COLON,"","","",Orphanet_1458,0.808398853754386,"CODAS syndrome: Codas syndrome is a multiple congenital anomalies syndrome characterized by Cerebral, Ocular, Dental, Auricular and Skeletal anomalies.",ENSG00000196365
KCNJ11,1,SKM-GN,"","","",Orphanet_99886,0.807868811271463,Transient neonatal diabetes mellitus: Transient neonatal diabetes mellitus (TNDM) is a genetically heterogeneous form of neonatal diabetes (NDM) characterized by hyperglycemia presenting in the neonatal period that remits during infancy but recurs in later life in most patients.,ENSG00000187486
KCNJ11,1,SKM-GN,"","","",MONDO_0011153,0.807722134914986,"hyperinsulinemic hypoglycemia, familial, 2: Any hyperinsulinemic hypoglycemia in which the cause of the disease is a mutation in the KCNJ11 gene.",ENSG00000187486
CSPP1,1,ADRNL,"","","",Orphanet_475,0.807633551006019,"Joubert syndrome: Joubert syndrome (JS) is characterized by congenital malformation of the brainstem and agenesis or hypoplasia of the cerebellar vermis leading to an abnormal respiratory pattern, nystagmus, hypotonia, ataxia, and delay in achieving motor milestones.",ENSG00000104218
CTC1,1,ADRNL,"","","",Orphanet_313838,0.807608058425346,"Coats plus syndrome: Coats plus syndrome is a pleiotropic multisystem disorder characterized by retinal telangiectasia and exudates, intracranial calcification with leukoencephalopathy and brain cysts, osteopenia with predisposition to fractures, bone marrow suppression, gastrointestinal bleeding and portal hypertension. It is transmitted as an autosomal recessive disease.",ENSG00000178971
RYR1,1,SKM-VL,"","","",Orphanet_98905,0.807311040301445,"Congenital multicore myopathy with external ophthalmoplegia: An autosomal recessive condition caused by mutation(s) in the RYR1 gene, encoding ryanodine receptor 1. It may be characterized clinically by neonatal hypotonia, delayed motor development, and generalized muscle weakness, and amyotrophy. Pathologically, the absence of mitochondria and focal disorganization of the sarcomere appear as ""minicores"" on ATPase staining as a result of focal defects in oxidative activity.",ENSG00000196218
SUOX,1,BAT,"","","",Orphanet_99731,0.807195887028709,Isolated sulfite oxidase deficiency: NA,ENSG00000139531
COL6A2,1,BAT,"","","",Orphanet_75840,0.807099453375348,"Congenital muscular dystrophy, Ullrich type: Ullrich congenital muscular dystrophy (UCMD) is characterized by early-onset, generalized and slowly progressive muscle weakness, multiple proximal joint contractures, marked hypermobility of the distal joints and normal intelligence.",ENSG00000142173
SLC29A3,1,BAT,"","","",Orphanet_168569,0.806996812139577,"H syndrome: H syndrome is a systemic inherited histiocytosis, with characteristic cutaneous findings accompanying systemic manifestations. H syndrome refers to the major clinical findings of hyperpigmentation, hypertrichosis, hepatosplenomegaly, heart anomalies, hearing loss, hypogonadism, low height, and occasionally, hyperglycemia/diabetes mellitus. Due to overlapping clinical features, H syndrome is now considered to include pigmented hypertrichosis with insulin dependent diabetes mellitus syndrome (PHID), Faisalabad histiocytosis (FHC) and familial sinus histiocytosis with massive lymphadenopathy (FSHML).",ENSG00000198246
ADGRG1,1,SKM-VL,"","","",Orphanet_101070,0.806754672500008,"Bilateral frontoparietal polymicrogyria: Bilateral frontoparietal polymicrogyria (BFPP) is a sub-type of polymicrogyria (PMG), a cerebral cortical malformation characterized by excessive cortical folding and abnormal cortical layering, that involves the frontoparietal region of the brain and that presents with hypotonia, developmental delay, moderate to severe intellectual disability, pyramidal signs, epileptic seizures, non progressive cerebellar ataxia, dysconjugate gaze and/or strabismus.",ENSG00000205336
INF2,1,LIVER,"","","",EFO_0004236,0.806275082434462,"focal segmental glomerulosclerosis: A renal disorder characterized by sclerotic lesions in the glomeruli. Causes include drugs, viruses, and malignancies (lymphomas), or it may be idiopathic. It presents with asymptomatic proteinuria or nephritic syndrome and it may lead to renal failure.",ENSG00000203485
