gene,n_tissue,tissue_1,tissue_2,tissue_3,tissue_4,tissue_5,tissue_6,indirect_association.diseaseId,indirect_association.score,direct_association.diseaseId,direct_association.score,indirect_association.disease,direct_association.disease,ensembl_ID
RPL24,1,HEART,"","","","","",OTAR_0000010,0.636333437526084,Orphanet_586,0.493377113103201,respiratory or thoracic disease: A disease affecting the respiratory system or other thoracic organs.,Cystic fibrosis: Cystic fibrosis (CF) is a genetic disorder characterized by the production of sweat with a high salt content and mucus secretions with an abnormal viscosity.,ENSG00000114391
CSNK1D,1,BLOOD,"","","","","",EFO_0000618,0.635945480710567,Orphanet_164736,0.635542632410188,"nervous system disease: A non-neoplastic or neoplastic disorder that affects the brain, spinal cord, or peripheral nerves.",Familial advanced sleep-phase syndrome: Familial advanced sleep-phase syndrome (FASPS) is a very rare circadian rhythm sleep disorder characterized by very early sleep onset and offset possibly resulting in emotional and physical disruptions.,ENSG00000141551
PDE5A,1,ADRNL,"","","","","",OTAR_0000010,0.635682814228501,EFO_0004234,0.611805113402808,respiratory or thoracic disease: A disease affecting the respiratory system or other thoracic organs.,erectile dysfunction: Persistent or recurrent inability to achieve or to maintain an erection during sexual activity.,ENSG00000138735
EPRS1,1,ADRNL,"","","","","",OTAR_0000018,0.635600041634768,MONDO_0054782,0.631049391553809,"genetic, familial or congenital disease: A disease caused by genetic modifications inherited from parents genome, occurring in or affecting members of a family more than expected by chance or existing at, and usually before, birth.","leukodystrophy, hypomyelinating, 15: NA",ENSG00000136628
TKFC,1,ADRNL,"","","","","",EFO_0000508,0.635442900572672,MONDO_0032927,0.594349551882531,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.",triokinase and FMN cyclase deficiency syndrome: NA,ENSG00000149476
RPS3A,1,BLOOD,"","","","","",EFO_0000508,0.635325586194563,Orphanet_586,0.493377113103201,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.",Cystic fibrosis: Cystic fibrosis (CF) is a genetic disorder characterized by the production of sweat with a high salt content and mucus secretions with an abnormal viscosity.,ENSG00000145425
RPS14,1,BLOOD,"","","","","",OTAR_0000010,0.635278901610635,Orphanet_586,0.493377113103201,respiratory or thoracic disease: A disease affecting the respiratory system or other thoracic organs.,Cystic fibrosis: Cystic fibrosis (CF) is a genetic disorder characterized by the production of sweat with a high salt content and mucus secretions with an abnormal viscosity.,ENSG00000164587
MFAP5,1,SKM-GN,"","","","","",OTAR_0000006,0.635035704092795,Orphanet_91387,0.626479804013554,musculoskeletal or connective tissue disease: A disease involving the musculoskeletal or connective tissue system.,"Familial thoracic aortic aneurysm and aortic dissection: A rare genetic vascular disease characterized by the familial occurrence of thoracic aortic aneurysm, dissection or dilatation affecting one or more aortic segments (aortic root, ascending aorta, arch or descending aorta) in the absence of any other associated disease. Depending on the size, location and progression rate of dilatation/dissection, patients may be asymptomatic or may present dyspnea, cough, jaw, neck, chest or back pain, head, neck or upper limb edema, difficulty swallowing, voice hoarseness, pale skin, faint pulse and/or numbness/tingling in limbs. Patients have increased risk of presenting life threatening aortic rupture.",ENSG00000197614
RPS15,1,HEART,"","","","","",EFO_0000508,0.634753207729691,Orphanet_586,0.493377113103201,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.",Cystic fibrosis: Cystic fibrosis (CF) is a genetic disorder characterized by the production of sweat with a high salt content and mucus secretions with an abnormal viscosity.,ENSG00000115268
RPL7,1,BLOOD,"","","","","",OTAR_0000010,0.634279655781924,Orphanet_586,0.493377113103201,respiratory or thoracic disease: A disease affecting the respiratory system or other thoracic organs.,Cystic fibrosis: Cystic fibrosis (CF) is a genetic disorder characterized by the production of sweat with a high salt content and mucus secretions with an abnormal viscosity.,ENSG00000147604
RPS4X,1,BLOOD,"","","","","",OTAR_0000010,0.63427163245239,Orphanet_586,0.493377113103201,respiratory or thoracic disease: A disease affecting the respiratory system or other thoracic organs.,Cystic fibrosis: Cystic fibrosis (CF) is a genetic disorder characterized by the production of sweat with a high salt content and mucus secretions with an abnormal viscosity.,ENSG00000198034
RPL34,1,HEART,"","","","","",OTAR_0000010,0.633713664955508,Orphanet_586,0.493746692957885,respiratory or thoracic disease: A disease affecting the respiratory system or other thoracic organs.,Cystic fibrosis: Cystic fibrosis (CF) is a genetic disorder characterized by the production of sweat with a high salt content and mucus secretions with an abnormal viscosity.,ENSG00000109475
RPL37,1,HEART,"","","","","",OTAR_0000010,0.633314837029019,Orphanet_586,0.493377113103201,respiratory or thoracic disease: A disease affecting the respiratory system or other thoracic organs.,Cystic fibrosis: Cystic fibrosis (CF) is a genetic disorder characterized by the production of sweat with a high salt content and mucus secretions with an abnormal viscosity.,ENSG00000145592
RPS25,1,HEART,"","","","","",OTAR_0000010,0.633166548815719,Orphanet_586,0.493377113103201,respiratory or thoracic disease: A disease affecting the respiratory system or other thoracic organs.,Cystic fibrosis: Cystic fibrosis (CF) is a genetic disorder characterized by the production of sweat with a high salt content and mucus secretions with an abnormal viscosity.,ENSG00000118181
RPL8,1,HEART,"","","","","",OTAR_0000010,0.633166548815719,Orphanet_586,0.493377113103201,respiratory or thoracic disease: A disease affecting the respiratory system or other thoracic organs.,Cystic fibrosis: Cystic fibrosis (CF) is a genetic disorder characterized by the production of sweat with a high salt content and mucus secretions with an abnormal viscosity.,ENSG00000161016
RPS8,1,KIDNEY,"","","","","",OTAR_0000010,0.633166548815719,Orphanet_586,0.493377113103201,respiratory or thoracic disease: A disease affecting the respiratory system or other thoracic organs.,Cystic fibrosis: Cystic fibrosis (CF) is a genetic disorder characterized by the production of sweat with a high salt content and mucus secretions with an abnormal viscosity.,ENSG00000142937
RPL27A,1,BLOOD,"","","","","",OTAR_0000010,0.632755904532736,Orphanet_586,0.493377113103201,respiratory or thoracic disease: A disease affecting the respiratory system or other thoracic organs.,Cystic fibrosis: Cystic fibrosis (CF) is a genetic disorder characterized by the production of sweat with a high salt content and mucus secretions with an abnormal viscosity.,ENSG00000166441
RPS12,1,BLOOD,"","","","","",OTAR_0000010,0.632755904532736,Orphanet_586,0.493377113103201,respiratory or thoracic disease: A disease affecting the respiratory system or other thoracic organs.,Cystic fibrosis: Cystic fibrosis (CF) is a genetic disorder characterized by the production of sweat with a high salt content and mucus secretions with an abnormal viscosity.,ENSG00000112306
SOX6,1,BLOOD,"","","","","",OTAR_0000018,0.632260120969074,MONDO_0033544,0.56591915248595,"genetic, familial or congenital disease: A disease caused by genetic modifications inherited from parents genome, occurring in or affecting members of a family more than expected by chance or existing at, and usually before, birth.",Tolchin-Le Caignec syndrome: NA,ENSG00000110693
NSMCE2,1,BLOOD,"","","","","",EFO_0000508,0.629624730246317,Orphanet_808,0.544308997093969,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.","Seckel syndrome: A rare autosomal recessive inherited syndrome caused by mutations in the ATR gene, RBBP8 gene, CENPJ gene, CEP152 gene, CEP63 gene, NIN gene, DNA2 gene, or TRAIP gene. It is characterized by intrauterine growth retardation, dwarfism, microcephaly, mental retardation, and a ""bird-headed"" facial appearance.",ENSG00000156831
CDKN2B,1,COLON,"","","","","",MONDO_0045024,0.629365305202104,EFO_0005543,0.54331194556826,"cancer or benign tumor: Any disorder that features disrupted cell proliferation. Includes hyperplasia, neoplastic syndrome and isolated neoplasm diseases as well as precancerous conditions.","glioma: A benign or malignant brain and spinal cord tumor that arises from glial cells (astrocytes, oligodendrocytes, ependymal cells). Tumors that arise from astrocytes are called astrocytic tumors or astrocytomas. Tumors that arise from oligodendrocytes are called oligodendroglial tumors. Tumors that arise from ependymal cells are called ependymomas.",ENSG00000147883
CD52,1,BLOOD,"","","","","",EFO_0000540,0.629195988995135,EFO_0003929,0.546083559058723,immune system disease: A disorder resulting from an abnormality in the immune system.,"relapsing-remitting multiple sclerosis: The most common clinical variant of multiple sclerosis, characterized by recurrent acute exacerbations of neurologic dysfunction followed by partial or complete recovery. Common clinical manifestations include loss of visual (see optic neuritis), motor, sensory, or bladder function. Acute episodes of demyelination may occur at any site in the central nervous system, and commonly involve the optic nerves, spinal cord, brain stem, and cerebellum. (Adams et al., Principles of Neurology, 6th ed, pp903-914)",ENSG00000169442
COL4A6,1,COLON,"","","","","",EFO_0000618,0.628884050443085,EFO_0004229,0.582678364566422,"nervous system disease: A non-neoplastic or neoplastic disorder that affects the brain, spinal cord, or peripheral nerves.",Dupuytren Contracture: A fibromatosis of the palmar fascia characterized by thickening and contracture of the fibrous bands on the palmar surfaces of the hand and fingers. It arises most commonly in men between the ages of 30 and 50.,ENSG00000197565
ADCY1,1,SPLEEN,"","","","","",EFO_0000618,0.628858140515457,Orphanet_90636,0.461974818355877,"nervous system disease: A non-neoplastic or neoplastic disorder that affects the brain, spinal cord, or peripheral nerves.",Autosomal recessive non-syndromic sensorineural deafness type DFNB: NA,ENSG00000164742
TTC25,1,BAT,"","","","","",EFO_0000508,0.628652319705574,Orphanet_244,0.612688840755009,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.","Primary ciliary dyskinesia: A rare, genetically heterogeneous, primarily respiratory disorder characterized by chronic upper and lower respiratory tract disease. Approximately half of PCD patients have an organ laterality defect (situs inversus totalis or situs ambiguus/heterotaxy).",ENSG00000204815
DCXR,1,COLON,"","","","","",EFO_0000508,0.628420772374856,Orphanet_2843,0.610258160957827,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.",Pentosuria: Pentosuria is an inborn error of metabolism which is characterized by the excretion of 1 to 4 g of the pentose L-xylulose in the urine per day.,ENSG00000169738
UQCRC2,1,BAT,"","","","","",EFO_0000589,0.628171160034419,Orphanet_1460,0.627357311905436,"metabolic disease: Generic term for diseases caused by an abnormal metabolic process. It can be congenital due to inherited enzyme abnormality (METABOLISM, INBORN ERRORS) or acquired due to disease of an endocrine organ or failure of a metabolically important organ such as the liver. (Stedman, 26th ed)","Isolated CoQ-cytochrome C reductase deficiency: Isolated complex III deficiency is a rare, genetic, mitochondrial oxidative phosphorylation disorder characterized by a wide spectrum of clinical manifestations ranging from isolated myopathy or transient hepatopathy to severe multisystem disorder (that may include hypotonia, failure to thrive, psychomotor delay, cardiomyopathy, encephalopathy, renal tubulopathy, hearing impairment, lactic acidosis, hypoglycemia and other signs and symptoms).",ENSG00000140740
RC3H1,1,BAT,"","","","","",EFO_0005803,0.627037268773784,HP_0001976,0.496068559950541,hematologic disease: Disorders of the blood and blood forming tissues.,Reduced antithrombin III activity: An abnormality of coagulation related to a decreased concentration of antithrombin-III.,ENSG00000135870
PODXL,1,SKM-VL,"","","","","",OTAR_0000018,0.626407252483807,MONDO_0002350,0.462621583101576,"genetic, familial or congenital disease: A disease caused by genetic modifications inherited from parents genome, occurring in or affecting members of a family more than expected by chance or existing at, and usually before, birth.",familial nephrotic syndrome: An instance of nephrotic syndrome that is caused by an inherited modification of the individual's genome.,ENSG00000128567
IL31RA,1,WAT-SC,"","","","","",EFO_0000508,0.623830590932021,Orphanet_353220,0.499313562328958,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.",Familial primary localized cutaneous amyloidosis: NA,ENSG00000164509
MXI1,1,BLOOD,"","","","","",MONDO_0045024,0.623360983984118,EFO_0001663,0.508418686761255,"cancer or benign tumor: Any disorder that features disrupted cell proliferation. Includes hyperplasia, neoplastic syndrome and isolated neoplasm diseases as well as precancerous conditions.",prostate carcinoma: A carcinoma that arises from epithelial cells of the prostate gland.,ENSG00000119950
MLF1,1,SKM-GN,"","","","","",EFO_0000616,0.62243521154781,EFO_0000178,0.369579854684702,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.",gastric carcinoma: A carcinoma that arises from epithelial cells of the stomach.,ENSG00000178053
PGA5,1,COLON,"","","","","",EFO_0010282,0.621471137496739,EFO_0004607,0.564504420077356,"gastrointestinal disease: A disease that occurs in the gastrointestinal system, excluding the hepatobiliary system.",duodenal ulcer: A peptic ulcer arising in the small intestine.,ENSG00000256713
NDC1,1,SPLEEN,"","","","","",EFO_0009690,0.62112423725682,EFO_0000764,0.540921181759359,urinary system disease: A disease involving the renal system.,HIV infection: An infection caused by the human immunodeficiency virus.,ENSG00000058804
CLIC5,1,HEART,"","","","","",EFO_0000618,0.621093294305721,Orphanet_90636,0.493892466066577,"nervous system disease: A non-neoplastic or neoplastic disorder that affects the brain, spinal cord, or peripheral nerves.",Autosomal recessive non-syndromic sensorineural deafness type DFNB: NA,ENSG00000112782
NOL3,1,HEART,"","","","","",EFO_0000508,0.620967241287915,Orphanet_319189,0.618299294646129,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.","Familial cortical myoclonus: A rare, genetic movement disorder characterized by autosomal dominant, adult-onset, slowly progressive, multifocal, cortical myoclonus. Patients present somatosensory-evoked, brief, jerky, involuntary movements in the face, arms and legs, associated in most of cases with sustained, multiple, sudden falls without loss of consciousness. Seizures or other neurological deficits, aside from mild cerebellar ataxia late in the course of the illness, are absent.",ENSG00000140939
RIPOR2,1,SPLEEN,"","","","","",EFO_0000618,0.620865445282721,Orphanet_90636,0.475300663462895,"nervous system disease: A non-neoplastic or neoplastic disorder that affects the brain, spinal cord, or peripheral nerves.",Autosomal recessive non-syndromic sensorineural deafness type DFNB: NA,ENSG00000111913
RBFOX1,1,HEART,"","","","","",EFO_0000618,0.620694046903704,Orphanet_1945,0.476366388021523,"nervous system disease: A non-neoplastic or neoplastic disorder that affects the brain, spinal cord, or peripheral nerves.","Rolandic epilepsy: A childhood-onset epilepsy syndrom that is characterized by onset of seizures between 3 and 14 years (peak 8-9 years) that usually resolve by age 13 years, but can occasionally occur up to age 18 years of age. Both sexes are affected. Antecedent, birth and neonatal history is normal. A history of febrile seizure (in 5-15%) may be seen. A history of Panayiotopoulos syndrome may be present in a very small number of cases. Neurological exam and head size is normal. Development and cognition prior to onset of seizures is normal. During the course of the active epilepsy, behavioral and neuropsychological deficits may be found, particularly in language and executive functioning. These deficits improve when seizures remit.",ENSG00000078328
CLIP1,1,HEART,"","","","","",MONDO_0045024,0.619684614058065,Orphanet_88616,0.370544868749712,"cancer or benign tumor: Any disorder that features disrupted cell proliferation. Includes hyperplasia, neoplastic syndrome and isolated neoplasm diseases as well as precancerous conditions.",Autosomal recessive non-syndromic intellectual disability: Autosomal recessive form of non-syndromic intellectual disability.,ENSG00000130779
KCNF1,1,COLON,"","","","","",EFO_0000618,0.619604798425237,MONDO_0005301,0.583901659783277,"nervous system disease: A non-neoplastic or neoplastic disorder that affects the brain, spinal cord, or peripheral nerves.",multiple sclerosis: A progressive autoimmune disorder affecting the central nervous system resulting in demyelination. Patients develop physical and cognitive impairments that correspond with the affected nerve fibers.,ENSG00000162975
NUP210,1,BLOOD,"","","","","",EFO_0009690,0.618517697023555,EFO_0000764,0.540921181759359,urinary system disease: A disease involving the renal system.,HIV infection: An infection caused by the human immunodeficiency virus.,ENSG00000132182
PPP2R5B,1,BLOOD,"","","","","",EFO_0000616,0.617673325979243,EFO_0000311,0.527431517063368,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.","cancer: A tumor composed of atypical neoplastic, often pleomorphic cells that invade other tissues. Malignant neoplasms often metastasize to distant anatomic sites and may recur after excision. The most common malignant neoplasms are carcinomas (adenocarcinomas or squamous cell carcinomas), Hodgkin and non-Hodgkin lymphomas, leukemias, melanomas, and sarcomas.",ENSG00000068971
NOP56,1,COLON,"","","","","",EFO_0000618,0.615145676022989,Orphanet_276198,0.597283091095395,"nervous system disease: A non-neoplastic or neoplastic disorder that affects the brain, spinal cord, or peripheral nerves.","Spinocerebellar ataxia type 36: Spinocerebellar ataxia type 36 (SCA36) is a subtype of autosomal dominant cerebellar ataxia type 1 (ADCA type 1; see this term) characterized by gait and limb ataxia, lower limb spasticity, dysarthria, muscle fasiculations, tongue atrophy and hyperreflexia.",ENSG00000101361
EIF2AK1,1,BLOOD,"","","","","",EFO_0001444,0.614358195489094,EFO_0010700,0.590684063107368,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"reticulocyte measurement: A quantification of some aspect of reticulocyte function, quantity, or composition.",ENSG00000086232
NDUFB2,1,BLOOD,"","","","","",EFO_0000589,0.613983740236695,MONDO_0005148,0.613505088832989,"metabolic disease: Generic term for diseases caused by an abnormal metabolic process. It can be congenital due to inherited enzyme abnormality (METABOLISM, INBORN ERRORS) or acquired due to disease of an endocrine organ or failure of a metabolically important organ such as the liver. (Stedman, 26th ed)",type 2 diabetes mellitus: A type of diabetes mellitus that is characterized by insulin resistance or desensitization and increased blood glucose levels. This is a chronic disease that can develop gradually over the life of a patient and can be linked to both environmental factors and heredity.,ENSG00000090266
NCOA4,1,BLOOD,"","","","","",MONDO_0045024,0.613519733944104,EFO_0000641,0.376501944634034,"cancer or benign tumor: Any disorder that features disrupted cell proliferation. Includes hyperplasia, neoplastic syndrome and isolated neoplasm diseases as well as precancerous conditions.","papillary thyroid carcinoma: A differentiated adenocarcinoma arising from the follicular cells of the thyroid gland. Radiation exposure is a risk factor and it is the most common malignant thyroid lesion, comprising 75% to 80% of all thyroid cancers in iodine sufficient countries. Diagnostic procedures include thyroid ultrasound and fine needle biopsy. Microscopically, the diagnosis is based on the distinct characteristics of the malignant cells, which include enlargement, oval shape, elongation, and overlapping of the nuclei. The nuclei also display clearing or have a ground glass appearance.",ENSG00000266412
CD164,1,ADRNL,"","","","","",EFO_0000618,0.612322340517039,Orphanet_90635,0.461974818355877,"nervous system disease: A non-neoplastic or neoplastic disorder that affects the brain, spinal cord, or peripheral nerves.",Autosomal dominant non-syndromic sensorineural deafness type DFNA: NA,ENSG00000135535
RUBCN,1,HEART,"","","","","",EFO_0000508,0.612019849771489,Orphanet_404499,0.526253051776162,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.",Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome due to KIAA0226 deficiency: NA,ENSG00000145016
ZC3HAV1,1,BLOOD,"","","","","",EFO_0000616,0.611495281077616,EFO_0000311,0.542792002762735,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.","cancer: A tumor composed of atypical neoplastic, often pleomorphic cells that invade other tissues. Malignant neoplasms often metastasize to distant anatomic sites and may recur after excision. The most common malignant neoplasms are carcinomas (adenocarcinomas or squamous cell carcinomas), Hodgkin and non-Hodgkin lymphomas, leukemias, melanomas, and sarcomas.",ENSG00000105939
PDE1B,1,COLON,"","","","","",MONDO_0000651,0.611484856430038,EFO_0001645,0.553850715082619,"thoracic disorder: A non-neoplastic or neoplastic disorder that affects the thorax and/or the organs of the thoracic cavity. Representative examples include pleural infection, mediastinitis, thymoma, mediastinal lymphoma, and pleural mesothelioma.",coronary artery disease: Narrowing of the coronary arteries due to fatty deposits inside the arterial walls. The diagnostic criteria may include documented history of any of the following: documented coronary artery stenosis greater than or equal to 50% (by cardiac catheterization or other modality of direct imaging of the coronary arteries); previous coronary artery bypass surgery (CABG); previous percutaneous coronary intervention (PCI); previous myocardial infarction. (ACC),ENSG00000123360
KLF11,1,COLON,"","","","","",EFO_0001379,0.611303477586953,Orphanet_552,0.605678943751575,"endocrine system disease: Pathological processes of the ENDOCRINE GLANDS, and diseases resulting from abnormal level of available HORMONES.","MODY: MODY (maturity-onset diabetes of the young) is a rare, familial, clinically and genetically heterogeneous form of diabetes characterized by young age of onset (generally 10-45 years of age) with maintenance of endogenous insulin production, lack of pancreatic beta-cell autoimmunity, absence of obesity and insulin resistance and extra-pancreatic manifestations in some subtypes.",ENSG00000172059
BCAT2,1,SKM-VL,"","","","","",EFO_0000589,0.611190923378098,MONDO_0100058,0.60698358078425,"metabolic disease: Generic term for diseases caused by an abnormal metabolic process. It can be congenital due to inherited enzyme abnormality (METABOLISM, INBORN ERRORS) or acquired due to disease of an endocrine organ or failure of a metabolically important organ such as the liver. (Stedman, 26th ed)","hypervalinemia and hyperleucine-isoleucinemia: Elevated levels of plasma valine and leucine/isoleucine levels, associated with symptoms of headache and mild memory loss and attributed to biallelic variants in the BCAT2 gene. BCAT2 encodes branched-chain aminotransferase 2 which catalyzes the transamination of the branched chain amino acids to their respective α-keto acids.",ENSG00000105552
S1PR4,1,SPLEEN,"","","","","",EFO_0000540,0.610569472846269,MONDO_0005301,0.592312319090422,immune system disease: A disorder resulting from an abnormality in the immune system.,multiple sclerosis: A progressive autoimmune disorder affecting the central nervous system resulting in demyelination. Patients develop physical and cognitive impairments that correspond with the affected nerve fibers.,ENSG00000125910
PSMB4,1,COLON,"","","","","",EFO_0000508,0.609187699416628,MONDO_0054699,0.553173717699148,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.",proteasome-associated autoinflammatory syndrome 3: NA,ENSG00000159377
ACVR1C,1,COLON,"","","","","",EFO_0001444,0.607944065295999,EFO_0004611,0.467465162521056,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,low density lipoprotein cholesterol measurement: The measurement of LDL cholesterol in blood used as a risk indicator for heart disease.,ENSG00000123612
CLEC10A,1,BAT,"","","","","",EFO_0001444,0.607794700857303,EFO_0004696,0.538541436472979,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"sex hormone-binding globulin measurement: Is a quantification of sex hormone binding globulin. In men the test is used in when investigating testosterone deficiency.  The SHBG glycoprotein binds to circulating estradiol and testosterone, low levels of SHBG may be implicated in breast cancer etiology.",ENSG00000132514
LYL1,1,BLOOD,"","","","","",EFO_0000616,0.60696201659258,EFO_0000178,0.369579854684702,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.",gastric carcinoma: A carcinoma that arises from epithelial cells of the stomach.,ENSG00000104903
PDE7A,1,SPLEEN,"","","","","",EFO_0000618,0.6061720913652,EFO_0001645,0.553850715082619,"nervous system disease: A non-neoplastic or neoplastic disorder that affects the brain, spinal cord, or peripheral nerves.",coronary artery disease: Narrowing of the coronary arteries due to fatty deposits inside the arterial walls. The diagnostic criteria may include documented history of any of the following: documented coronary artery stenosis greater than or equal to 50% (by cardiac catheterization or other modality of direct imaging of the coronary arteries); previous coronary artery bypass surgery (CABG); previous percutaneous coronary intervention (PCI); previous myocardial infarction. (ACC),ENSG00000205268
PRKD3,1,SPLEEN,"","","","","",EFO_0000616,0.605641586252705,EFO_0000222,0.494521718822846,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.","acute myeloid leukemia: Acute myeloid leukemia (AML) is a group of neoplasms arising from precursor cells committed to the myeloid cell-line differentiation. All of them are characterized by clonal expansion of myeloid blasts. AML manifests by fever, pallor, anemia, hemorrhages and recurrent infections.",ENSG00000115825
AK7,1,HIPPOC,"","","","","",EFO_0000512,0.60555274932081,Orphanet_276234,0.498406589767483,reproductive system disease: Any disease of the reproductive system.,"Non-syndromic male infertility due to sperm motility disorder: Non-syndromic male infertility due to sperm motility disorder is a rare, genetic, non-syndromic male infertility disorder characterized by infertility due to sperm with defects in their cilia/flagella structure, leading to absent motility or reduced forward motility in fresh ejaculate. Reduced semen volume, oligospermia and an increased number of abnormally structured spermatozoa is often present.",ENSG00000140057
